#Subsystem,Component,Description
app-engines,agnmodel,"Agenda application engine"
app-engines,chart,"Chart engine"
app-engines,agnversit,"Dynamic interface for vCalendar import/export"
app-engines,cntmodel,"Contacts application engine"
app-engines,convert,"Text to Symbian OS Word converter"
app-engines,damodel,"Data and Jotter application engine"
app-engines,sheng,"Spreadsheet application engine"
app-engines,wpeng,"Word application engine"
app-framework,aiftool,"PC tool to create Application Information Files (AIFs)"
app-framework,apparc,"Application architecture"
app-framework,bmpanim,"Bitmap animation utility (Window server plug-in)"
app-framework,clock,"Animated clock support (Window Server plug-in)"
app-framework,conarc,"File/data converter framework"
app-framework,conarc_plugins,"Onboard converters for MS Office applications"
app-framework,cone,"UI Control framework"
app-framework,egul,"UI Graphics utilities"
app-framework,eikstd,"UIKON reference Eikon controls"
app-framework,eiktest,"Eikon test harnesses"
app-framework,emime,"MIME recognisers"
app-framework,errorresgt,"Extended Error Code to Text resolver library"
app-framework,etext,"Text storage and handling"
app-framework,fepbase,"Input methods (front end processor framework)"
app-framework,form,"Text formatting/layout services"
app-framework,grid,"Simple grid layout engine"
app-framework,print,"Printing services"
app-framework,uiklaf,"UIKON look&feel example code"
app-framework,uiklafgt,"UIKON look&feel API definition"
app-framework,uikon,"UI Framework (LAF policy-free)"
app-framework,uikondoc,"Tool for creating Uikon documentation from source"
app-framework,viewsrv,"View server"
application-protocols,http,"Transport Framework and HTTP/WSP client support"
application-protocols,inetprotutil,"Internet client utilities (with Base64 etc)"
application-protocols,ecom,"Plug-in framework server"
application-protocols,recognisers,"Data-type recognisers"
application-protocols,syncmlclient,"SyncML client"
app-services,calcon,"Calendar conversion utilities"
app-services,alarmserver,"Alarm server"
app-services,worldserver,"World server"
app-services,hlpmodel,"Help application engine"
app-services,chtmltocrtconverter,"Html to Symbian OS rich text converter"
app-services,logeng,"Logging engine"
app-services,schsvr,"Task Scheduler"
app-services,sysagent,"System agent"
app-services,versit,"vCard/vCal converters"
app-services,wlddatabasekit,"Tools and data that create a compiled world database data file"
app-services,wldtools,"Additional PC tools for building world database"
base,assabetb,"Base port for Intel's Assabet Strong ARM reference hardware"
base,bafl,"Application utilities (such as resource file handling)"
base,bootstrap,"Kernel boostrap code"
base,brutusa,"Base port for Intel's Brutus Strong ARM reference hardware"
base,charconv,"Character Conversion Library"
base,cirrus7211a,"Base port for Cirrus Logic reference hardware"
base,cogent1,"Base port for Cogent reference hardware"
base,dbms,"Database server (DBMS)"
base,e32,"Kernel and User library"
base,e32test,"Kernel and User library test code"
base,f32,"File server"
base,f32test,"Test code for file server"
base,hal,"Reference Hardware abstraction layer"
base,integratorap,"Base port for Integrator reference hardware"
base,loce32,"Localisation support libraries"
base,lubbock,"Base port for Intel's Lubbock reference hardware"
base,pwrcli,"Power, memory and disk usage management"
base,series5mx1,"Base port for Series5mx reference hardware"
base,siboutil,"Conversion utilities from Sibo"
base,stdlib,"C standard library support"
base,store,"Stream store"
base,vtemplate,"Variant layer example code for a base port"
base,e32utils,"Development and test tools (e.g. gdbstub)"
bluetooth,bluetooth,"Bluetooth stack and communications"
comms-infras,commdb,"Comms configuration database"
comms-infras,configdb,"Networking configuration database"
comms-infras,esock,"Sockets/Networking Server"
comms-infras,flogger,"Comms File Logger"
comms-infras,nifman,"Network interface manager"
conn-framework,ec_customservers,"Symbian Connect Plug-ins for Symbian OS device"
conn-framework,mrouter,"mRouter transport layer connectivity"
connlink,brdcst,"Broadcast server"
connlink,plp,"PLP stack (for connection to Symbian Connect)"
connlink,plpvariant,"Machine and drive information retrieval (for Symbian Connect)"
connmiscplug-ins,asfilter,"Agenda engine synchronisation filter"
connmiscplug-ins,irmtm,"IR Messaging plug-in"
