#Subsystem,Component,File,Purpose
#Note that for duplicates (where file moved components from old to new releases), new version is used and old
#version should be commented out or removed
app-engines,agnmodel,agnmodel.sis,"Stub SIS file for pc connectivity"
app-engines,agnmodel,agnmodel.dll,"Agenda engine client interface"
app-engines,agnmodel,agsvexe.exe,"Agenda server (no external interfaces)"
app-engines,agnversit,agnversit.dll,"Provides dynamic interface for vCalendar import/export"
app-engines,cntmodel,cntmodel.sis,"Stub SIS file for pc connectivity"
app-engines,cntmodel,cntmodel.dll,"Contacts engine client interface"
app-engines,cntmodel,cntmodel.rsc,"Contacts default template.  Will be replaced by licensee products"
app-engines,cntmodel,cntphone.dll,"Contacts phone number parser"
app-engines,cntmodel,cntsrv.exe,"Contacts server (no external interfaces)"
app-engines,cntmodel,cntvcard.dll,"Contacts vCard parser"
app-engines,cntmodel,cntview.dll,"Contacts database view utilities"
app-engines,convert,txtword.cnf,"Symbian OS Word to plain text converter capabilities file"
app-engines,convert,txtword.cnv,"Symbian OS Word to plain text converter"
app-engines,damodel,damodl.dll,"Data/Jotter app engine"
app-engines,sheng,sheng.sis,"Stub SIS file for pc connectivity"
app-engines,sheng,sheng.dll,"Sheet engine"
app-engines,sheng,sheng.rsc,"Sheet engine formulae names"
app-engines,wpeng,wpeng.sis,"Stub SIS file for pc connectivity"
app-engines,wpeng,wpeng.dll,"Word processor engine"
app-framework,apparc,apfile.dll,"Internal server helpers"
app-framework,apparc,apgrfx.dll,"Apparc server client APIs + wserv wrapper utilities"
app-framework,apparc,apparc.dll,"Application apparc base classes"
app-framework,apparc,apserv.dll,"Apparc server"
app-framework,apparc,apsexe.dll,"Apparc server stub"
app-framework,apparc,recapp.rdl,"Symbian OS application recogniser"
app-framework,apparc,recexe.rdl,"Symbian OS exe recogniser"
app-framework,bmpanim,bmpanim.dll,"Wserv anim dll for sequences of bitmaps - client"
app-framework,bmpanim,bmpansrv.dll,"Wserv anim dll for sequences of bitmaps - server"
app-framework,clock,clock.dll,"Clock & message windows - client"
app-framework,clock,clocka.dll,"Clock & message windows - Window Server plug-in"
app-framework,conarc,conarc.dll,"Converter base class & utilities"
app-framework,conarc_plugins,cotrlib.dll,"Converter library (error translation and trace)"
app-framework,conarc_plugins,exelcomm.dll,"On-board office app converters"
app-framework,conarc_plugins,exelread.cnv,"On-board office app converters"
app-framework,conarc_plugins,exelread.rsc,"On-board office app converters"
app-framework,conarc_plugins,exelwrit.cnv,"On-board office app converters"
app-framework,conarc_plugins,exelwrit.rsc,"On-board office app converters"
app-framework,conarc_plugins,exlr95.dll,"On-board office app converters"
app-framework,conarc_plugins,exlr9700.dll,"On-board office app converters"
app-framework,conarc_plugins,exlw95.dll,"On-board office app converters"
app-framework,conarc_plugins,exlw9700.dll,"On-board office app converters"
app-framework,conarc_plugins,fontconv.dll,"On-board converter between Symbian OS fonts and Microsoft(r) fonts"
app-framework,conarc_plugins,ole2lib.dll,"OLE2 stream read/write support"
app-framework,conarc_plugins,recoffice.mdl,"Mime-type recogniser for on-board office app converters for Emime framework"
app-framework,conarc_plugins,rt2htmcv.cnv,"On-board converter from Symbian OS RTF to HTML"
app-framework,conarc_plugins,rt2htmcv.rsc,"On-board office app converters"
app-framework,conarc_plugins,wordcomm.dll,"Common on-board Microsoft(r) Word conversion support"
app-framework,conarc_plugins,wordread.cnv,"On-board converter for reading Microsoft(r) Word format documents"
app-framework,conarc_plugins,wordread.rsc,"On-board office app converters"
app-framework,conarc_plugins,wordwrit.cnv,"On-board office app converters"
app-framework,conarc_plugins,wordwrit.rsc,"On-board office app converters"
app-framework,cone,cone.dll,"Control environment"
app-framework,egul,egul.dll,"Graphics utilities"
app-framework,emime,apmime.dll,"MIME type recogniser framework"
app-framework,emime,recapp2.mdl,"Symbian OS app MIME type recogniser"
app-framework,emime,rectxt.mdl,"Plain text recogniser"
app-framework,emime,recweb.mdl,"Basic reference URL recogniser"
app-framework,errorresgt,errorresgt.r01,"User displayable text for all standard GT errors.  Will need to be localised so final ROM budget is unpredictable"
app-framework,etext,etext.dll,"Text and text format structure"
app-framework,etext,field.dll,"Text fields implementation"
app-framework,fepbase,fepbase.dll,"Base classes for complex text input"
app-framework,form,form.dll,"Formatted text display"
app-framework,form,form_and_etext_editor.dll,"High-level text editor wrapper"
app-framework,form,tagma.dll,"Text formatting engine"
app-framework,form,undo.dll,"Undo system (generic and text-specific)"
app-framework,grid,grid.dll,"Simple grid layout engine"
app-framework,numberconversion,numberconversion.dll,"Number conversion library"
app-framework,print,prev.dll,"Print preview"
app-framework,print,print.dll,"Page setup and printer driver wrappers"
app-framework,uikon,apprun.exe,"Stub for app launching"
app-framework,uikon,econseik.dll,"Console"
app-framework,uikon,eikbackupsrv.dll,"Uikon backup server"
app-framework,uikon,eikcoctl.dll,"Standard Uikon controls"
app-framework,uikon,eikcore.dll,"Shared application environment"
app-framework,uikon,eikshtsrv.dll,"Uikon shutdown server"
app-framework,uikon,eiksrv.dll,"Uikon server"
app-framework,uikon,eiksrvc.dll,"Uikon server - client"
app-framework,uikon,eiksrvs.exe,"Uikon server - stub exe"
app-framework,uikon,uikinit.dll,"Uikon controls stub loader"
app-framework,viewsrv,viewcli.dll,"View server - client-side API"
app-framework,viewsrv,viewsrv.dll,"View server"
app-services,alarmserver,alarmclient.dll,"Client-side part of alarm server"
app-services,alarmserver,alarmserver.exe,"Alarm server"
app-services,alarmserver,alarmshared.dll,"Code shared by Alarm server and by clients"
app-services,calcon,ccon.dll,"Bi-directional Chinese Lunar calendar to Gregorian calendar"
app-services,calcon,chtmltocrtconverter.cnv,"HTML to Symbian OS rich text converter"
app-services,ealwl,ealm.exe,"Text mode alarm alert server. Not used in Roms?"
app-services,ealwl,ealwl.dll,"Client side api for alarm world server"
app-services,ealwl,ealwls.exe,"Server side for alarm world server"
app-services,hlpmodel,dbwriter.dll,"WINC component used to build help files"
app-services,hlpmodel,hlplch.dll,"Launches a device's help application"
app-services,hlpmodel,hlpmodel.dll,"The help engine"
app-services,logeng,logcli.dll,"Log engine, to be included in ROM only if logwrap.dll is included"
app-services,logeng,logcli.rsc,"Resource definitions for log engine"
app-services,logeng,logserv.exe,"Log server"
app-services,logeng,logstub.dll,"Stub API around log engine to be used when removing log engine from the ROM"
app-services,logeng,logwatcher.dll,""
app-services,logeng,logwrap.dll,"Wrapper API around log engine to enable optional removal of log engine from the ROM"
app-services,schsvr,schexe.exe,"Starts the schedule server"
app-services,schsvr,schsvr.dll,"Schedule server & client all rolled up into one DLL"
app-services,sysagent,indicatorwatcher.dll,"Observes when a call takes place and notifies system agent"
app-services,sysagent,sawatcherbase.dll,"Foundation classes for all system agent watchers"
app-services,sysagent,signalstrengthwatcher.dll,"Observes when the signal strength changes and notifies system agent"
app-services,sysagent,sysagt.dll,"System agent client-side dll"
app-services,sysagent,sysagx.exe,"System agent server"
app-services,sysagent,sysamob.exe,"System agent messaging observer"
app-services,versit,rversit.mdl,"Versit mime type recognizer for Emime framework"
app-services,versit,vcal.dll,"vCalendar parser"
app-services,versit,vcard.dll,"vCard parser"
app-services,versit,versit.dll,"vCard/vCalendar parser support"
app-services,wlddatabasekit,wld_data.dbz,"City and country world database"
app-services,worldserver,worldclient.dll,"Client-side world database server"
app-services,worldserver,worldserver.exe,"World database server"
application-protocols,ecom,ecom.dll,"Plug-in server framework client dll"
application-protocols,ecom,ecomserver.exe,"Plug-in server framework"
application-protocols,ecom,ecomerr.rsc,"Plug-in server error resolution resource"
application-protocols,ecom,testbed.dll,"Framework for test components (Used by ECom + some Wap and HTTP test harnesses - Not for ROM release)"
application-protocols,http,http.dll,"HTTP Client API & Core framework"
application-protocols,http,httpclient.dll,"HTTP Text mode protocol module"
application-protocols,http,httpexampleclient.exe,"Generalised test harness - Not for ROM release."
application-protocols,http,httpmessage.dll,"HTTP message parser and composer"
application-protocols,http,httptcphnd.dll,"TCP transport handler"
application-protocols,http,httptransporthandler.dll,"HTTP Transport Handler"
application-protocols,http,httptextprt.dll,"A text-mode HTTP protocol module"
application-protocols,http,nwsswsptrhnd.dll,"WSP Transport Handler"
application-protocols,http,tfcorefilters.dll,"Core protocol filters for the HTTP Transport Framework"
application-protocols,http,wsptrhnd.dll,"WSP Transport handler"
application-protocols,http,wspprotocolhandler.dll,"WSP protocol module"
application-protocols,inetprotutil,inetprotutil.dll,"Utilities for Internet clients (URI component)"
application-protocols,recognisers,ebookmarkrec.mdl,"Web Bookmark file recogniser for Emime framework"
application-protocols,recognisers,weburlrec.mdl,"Url recogniser for Emime framework"
application-protocols,syncmlclient,10009f0f.rsc,"Agenda sync Ecom resource"
application-protocols,syncmlclient,10009f13.rsc,"Contacts sync Ecom resource"
application-protocols,syncmlclient,10009f17.rsc,"Http transport Ecom resource"
application-protocols,syncmlclient,dummy.dll,"Dummy DLL  - Not for ROM release - Resource build artifact"
application-protocols,syncmlclient,sml.dll,"SyncML committee reference toolkit"
application-protocols,syncmlclient,smlagendadba.dll,"Agenda synchronization Ecom plug-in"
application-protocols,syncmlclient,smlchangefinder.dll,"Detects database changes"
application-protocols,syncmlclient,smlcontactsdba.dll,"Contacts synchronization Ecom plug-in"
